Current Component,Current Status (verified),Decision,Future Location,Priority
admin_users + admin_sessions + admin/auth.ts,"scrypt+timingSafe, cookie Path=/api/admin HttpOnly SameSite=Strict, tokens SHA-256 in DB, CSRF rotating, TTL 8h, self-demotion lock, session kill on reset/disable",KEEP + EXTEND,ERP Core / Identity,Critical
admin/permissions.ts,4 roles -> in-memory Set of 12 'module:action'; GET /users guarded by users:write; no approve/export/delete actions; no scope,REFACTOR (to DB table role_permissions),ERP Core / Access,Critical
Employees / Departments / Branches / Teams,"0 relevant occurrence in src+client (grep: 4 hits, all unrelated)",NEW,ERP Core / Identity,Critical
audit_logs + audit() vs recordAdminAudit(),"two writers on same table; 35/51 admin writes audited (16 missing); no session_id, entity_type, action enum, retention; table mutable; UI shows placeholder instead of diff","EXTEND + MERGE writers (append-only audit_events, additive columns)",ERP Core / Audit,Critical
assistant_tool_audit + toolGateway,effect/lane/principal_type/authenticated/authorized/schema_valid/approval_status/idempotency_key/outcome/error_code,KEEP as the ERP action-layer pattern,ERP Core / Workflow,High
"src/arrival-ingestion (21 files, 14 crm_* tables, 45 endpoints)","idempotent (arrival_client_id,source_hash); durable jobs with lease+heartbeat recovery; SCD-2 is_current/superseded; AI revalidated vs Category Master; canonical audit; warehouse dispatch with stable card_id + idempotency-key",KEEP (reference module) + EXTEND - do not rewrite,ERP / CRM-Arrivals,Critical
customers + customer_accounts,"dual customer model, soft link via normalizeCustomerPhone, two creators (checkout + arrivalClientService)",MERGE -> REBUILD as parties / party_contacts; keep both as views,ERP / CRM,High
assistant_support_tickets,"14 cols, assigned_to FK, status/priority CHECK, customer notification on resolve","EXTEND into generic Support (source, channel, SLA, messages)",ERP / Support,Medium
orders / order_items / order_status_history,40/27/7 cols; immutable pricing_snapshot per order AND per line; order state machine hardcoded in route handler (transitions map),KEEP + MOVE state machine to workflow definitions,ERP / Sales,Critical
payments / payment_transactions / payment_proofs,payments.order_id UNIQUE = 1 payment per order; PARTIALLY_PAID declared in 3 CHECK + UI labels but never written (dead status); proof review queue indexed; confirmed_by mixes admin id and 'KONNECT',KEEP + EXTEND (multi payments + allocations),ERP / Finance,High
invoices (+ orders.invoice_number / invoice_path legacy),"order_id UNIQUE = 1 invoice per order; status ISSUED|VOID only; number from COUNT(*) -> gaps; PDF generated in-house (simplePdf, no headless browser)","REBUILD (multi-line, DRAFT/SENT/PAID/VOID, credit notes, sequence)",ERP / Finance,High
expenses,"9 cols, 7 categories CHECK, amount>=0 CHECK, created_by no FK, physical DELETE via reports:write","EXTEND (soft delete, attachment, supplier link, journal posting)",ERP / Finance,Medium
"Accounting (chart of accounts, journal, periods, balances, VAT, bank rec)","0 table, 0 endpoint; getFinancialReport = SUM(payments) - SUM(expenses)",NEW,ERP / Finance-Accounting,Critical for ERP
